Dependency=Geometry Building Type RECS	Dependency=PUMA	Option=Occupied	Option=Vacant	source_count	source_weight	fallback_count	fallback_weight
Mobile Home	PA, 03004	1	0	41	1198	41	1198
Multi-Family with 2 - 4 Units	PA, 03004	0.947864	0.0521361	135	4143	135	4143
Multi-Family with 5+ Units	PA, 03004	0.921834	0.0781657	463	13804	463	13804
Single-Family Attached	PA, 03004	0.988373	0.0116267	403	9805	403	9805
Single-Family Detached	PA, 03004	0.95985	0.0401499	1863	41893	1863	41893
Mobile Home	PA, 03101	1	0	13	336	13	336
Multi-Family with 2 - 4 Units	PA, 03101	0.821691	0.178309	136	3679	136	3679
Multi-Family with 5+ Units	PA, 03101	0.906041	0.0939586	242	5843	242	5843
Single-Family Attached	PA, 03101	0.930846	0.0691544	584	13506	584	13506
Single-Family Detached	PA, 03101	0.970016	0.0299841	1480	32684	1480	32684
Mobile Home	PA, 03102	1	0	49	1020	49	1020
Multi-Family with 2 - 4 Units	PA, 03102	0.928175	0.0718247	157	3787	157	3787
Multi-Family with 5+ Units	PA, 03102	0.937389	0.0626113	312	7299	312	7299
Single-Family Attached	PA, 03102	0.957968	0.0420324	585	12419	585	12419
Single-Family Detached	PA, 03102	0.969858	0.030142	1143	24086	1143	24086
Mobile Home	PA, 03103	0.807018	0.192982	11	285	11	285
Multi-Family with 2 - 4 Units	PA, 03103	0.936878	0.0631217	107	2614	107	2614
Multi-Family with 5+ Units	PA, 03103	0.902783	0.097217	610	16098	610	16098
Single-Family Attached	PA, 03103	0.948808	0.0511915	433	9064	433	9064
Single-Family Detached	PA, 03103	0.974934	0.0250664	1456	29362	1456	29362
Mobile Home	PA, 03104	0.799139	0.200861	3	73	15111	223941
Multi-Family with 2 - 4 Units	PA, 03104	0.811499	0.188501	105	4122	105	4122
Multi-Family with 5+ Units	PA, 03104	0.899622	0.100378	354	10331	354	10331
Single-Family Attached	PA, 03104	0.899568	0.100432	556	16200	556	16200
Single-Family Detached	PA, 03104	0.969718	0.0302816	920	21168	920	21168
Mobile Home	PA, 03105	1	0	31	798	31	798
Multi-Family with 2 - 4 Units	PA, 03105	0.953394	0.0466063	98	2210	98	2210
Multi-Family with 5+ Units	PA, 03105	0.919748	0.0802516	344	9221	344	9221
Single-Family Attached	PA, 03105	0.978021	0.0219792	354	9327	354	9327
Single-Family Detached	PA, 03105	0.977036	0.0229636	1397	29525	1397	29525
Mobile Home	PA, 03106	0.799139	0.200861	6	98	15111	223941
Multi-Family with 2 - 4 Units	PA, 03106	0.943273	0.0567267	207	5218	207	5218
Multi-Family with 5+ Units	PA, 03106	0.82896	0.17104	420	11851	420	11851
Single-Family Attached	PA, 03106	0.930635	0.0693648	386	8549	386	8549
Single-Family Detached	PA, 03106	0.968428	0.0315724	2162	43614	2162	43614
Mobile Home	PA, 03201	0.799139	0.200861	6	161	15111	223941
Multi-Family with 2 - 4 Units	PA, 03201	0.91698	0.0830197	263	8769	263	8769
Multi-Family with 5+ Units	PA, 03201	0.928009	0.0719909	352	14099	352	14099
Single-Family Attached	PA, 03201	0.950536	0.049464	1021	27333	1021	27333
Single-Family Detached	PA, 03201	0.963807	0.036193	424	12682	424	12682
Mobile Home	PA, 03202	0.799139	0.200861	7	260	15111	223941
Multi-Family with 2 - 4 Units	PA, 03202	0.825482	0.174518	225	9850	225	9850
Multi-Family with 5+ Units	PA, 03202	0.91352	0.0864803	161	6117	161	6117
Single-Family Attached	PA, 03202	0.954411	0.0455886	878	30183	878	30183
Single-Family Detached	PA, 03202	0.974575	0.0254251	224	6411	224	6411
Mobile Home	PA, 03203	0.799139	0.200861	6	205	15111	223941
Multi-Family with 2 - 4 Units	PA, 03203	0.833356	0.166644	175	7297	175	7297
Multi-Family with 5+ Units	PA, 03203	0.89948	0.10052	70	2885	70	2885
Single-Family Attached	PA, 03203	0.898573	0.101427	1072	37988	1072	37988
Single-Family Detached	PA, 03203	0.956306	0.0436939	142	4234	142	4234
Mobile Home	PA, 03204	0.799139	0.200861	5	122	15111	223941
Multi-Family with 2 - 4 Units	PA, 03204	0.806349	0.193651	224	9450	224	9450
Multi-Family with 5+ Units	PA, 03204	0.885056	0.114944	179	6203	179	6203
Single-Family Attached	PA, 03204	0.915325	0.0846755	1290	45822	1290	45822
Single-Family Detached	PA, 03204	0.922162	0.0778383	175	4959	175	4959
Mobile Home	PA, 03205	0.799139	0.200861	7	337	15111	223941
Multi-Family with 2 - 4 Units	PA, 03205	0.782817	0.217183	169	6879	169	6879
Multi-Family with 5+ Units	PA, 03205	0.910802	0.0891975	90	3240	90	3240
Single-Family Attached	PA, 03205	0.875302	0.124698	1321	51316	1321	51316
Single-Family Detached	PA, 03205	0.947407	0.0525931	126	4107	126	4107
Mobile Home	PA, 03206	0.799139	0.200861	5	102	15111	223941
Multi-Family with 2 - 4 Units	PA, 03206	0.821992	0.178008	273	7539	273	7539
Multi-Family with 5+ Units	PA, 03206	0.873363	0.126637	586	17870	586	17870
Single-Family Attached	PA, 03206	0.905479	0.0945206	1179	33051	1179	33051
Single-Family Detached	PA, 03206	0.897418	0.102582	448	8481	448	8481
Mobile Home	PA, 03207	0.799139	0.200861	5	90	15111	223941
Multi-Family with 2 - 4 Units	PA, 03207	0.699759	0.300241	231	7877	231	7877
Multi-Family with 5+ Units	PA, 03207	0.847447	0.152553	225	7971	225	7971
Single-Family Attached	PA, 03207	0.787957	0.212043	936	34012	936	34012
Single-Family Detached	PA, 03207	0.91889	0.0811103	87	2774	87	2774
Mobile Home	PA, 03208	0.799139	0.200861	8	295	15111	223941
Multi-Family with 2 - 4 Units	PA, 03208	0.73781	0.26219	284	10439	284	10439
Multi-Family with 5+ Units	PA, 03208	0.840046	0.159954	464	12910	464	12910
Single-Family Attached	PA, 03208	0.831446	0.168554	1038	33550	1038	33550
Single-Family Detached	PA, 03208	0.899334	0.100666	109	2702	109	2702
Mobile Home	PA, 03209	0.799139	0.200861	5	103	15111	223941
Multi-Family with 2 - 4 Units	PA, 03209	0.887833	0.112167	419	11893	419	11893
Multi-Family with 5+ Units	PA, 03209	0.86172	0.13828	1569	46500	1569	46500
Single-Family Attached	PA, 03209	0.906579	0.0934214	894	23014	894	23014
Single-Family Detached	PA, 03209	0.994861	0.00513919	86	2335	86	2335
Mobile Home	PA, 03210	0.799139	0.200861	5	164	15111	223941
Multi-Family with 2 - 4 Units	PA, 03210	0.767784	0.232216	300	11007	300	11007
Multi-Family with 5+ Units	PA, 03210	0.884994	0.115006	443	11382	443	11382
Single-Family Attached	PA, 03210	0.839144	0.160856	1126	38637	1126	38637
Single-Family Detached	PA, 03210	0.948056	0.051944	100	3215	100	3215
Mobile Home	PA, 03211	0.799139	0.200861	4	243	15111	223941
Multi-Family with 2 - 4 Units	PA, 03211	0.873714	0.126286	182	6802	182	6802
Multi-Family with 5+ Units	PA, 03211	0.917088	0.082912	85	2967	85	2967
Single-Family Attached	PA, 03211	0.874058	0.125942	1353	44600	1353	44600
Single-Family Detached	PA, 03211	0.913164	0.0868358	90	2522	90	2522
Mobile Home	PA, 03301	0.799139	0.200861	3	77	15111	223941
Multi-Family with 2 - 4 Units	PA, 03301	0.918815	0.0811847	106	2870	106	2870
Multi-Family with 5+ Units	PA, 03301	0.904659	0.0953405	293	6975	293	6975
Single-Family Attached	PA, 03301	0.92629	0.0737104	289	6824	289	6824
Single-Family Detached	PA, 03301	0.968094	0.0319056	1589	33129	1589	33129
Mobile Home	PA, 03302	0.799139	0.200861	6	103	15111	223941
Multi-Family with 2 - 4 Units	PA, 03302	0.831354	0.168646	280	8675	280	8675
Multi-Family with 5+ Units	PA, 03302	0.896535	0.103465	356	10303	356	10303
Single-Family Attached	PA, 03302	0.91703	0.08297	895	24768	895	24768
Single-Family Detached	PA, 03302	0.948145	0.0518551	1028	22505	1028	22505
Mobile Home	PA, 03303	0.799139	0.200861	7	146	15111	223941
Multi-Family with 2 - 4 Units	PA, 03303	0.817556	0.182444	252	6972	252	6972
Multi-Family with 5+ Units	PA, 03303	0.895658	0.104342	265	7715	265	7715
Single-Family Attached	PA, 03303	0.882286	0.117714	1239	29079	1239	29079
Single-Family Detached	PA, 03303	0.931102	0.0688978	772	16793	772	16793
Mobile Home	PA, 03304	0.814189	0.185811	17	592	17	592
Multi-Family with 2 - 4 Units	PA, 03304	0.978466	0.0215343	51	1486	51	1486
Multi-Family with 5+ Units	PA, 03304	0.949131	0.050869	241	7883	241	7883
Single-Family Attached	PA, 03304	0.937637	0.0623634	319	7777	319	7777
Single-Family Detached	PA, 03304	0.958985	0.0410153	1156	29745	1156	29745
Mobile Home	PA, 03401	0.93608	0.0639205	26	704	26	704
Multi-Family with 2 - 4 Units	PA, 03401	0.968821	0.0311794	74	2213	74	2213
Multi-Family with 5+ Units	PA, 03401	0.922053	0.0779473	217	6684	217	6684
Single-Family Attached	PA, 03401	0.944796	0.0552044	279	7753	279	7753
Single-Family Detached	PA, 03401	0.956504	0.0434956	1283	27658	1283	27658
Mobile Home	PA, 03402	0.799139	0.200861	6	165	15111	223941
Multi-Family with 2 - 4 Units	PA, 03402	0.917293	0.0827068	88	2793	88	2793
Multi-Family with 5+ Units	PA, 03402	0.951707	0.0482933	343	10312	343	10312
Single-Family Attached	PA, 03402	0.94601	0.0539904	544	13169	544	13169
Single-Family Detached	PA, 03402	0.971799	0.0282009	1192	27836	1192	27836
Mobile Home	PA, 03403	0.953373	0.0466274	83	2209	83	2209
Multi-Family with 2 - 4 Units	PA, 03403	0.91283	0.0871705	102	2845	102	2845
Multi-Family with 5+ Units	PA, 03403	0.835509	0.164491	191	5976	191	5976
Single-Family Attached	PA, 03403	0.951296	0.0487044	469	11539	469	11539
Single-Family Detached	PA, 03403	0.974391	0.0256088	1468	35808	1468	35808
Mobile Home	PA, 03404	0.896029	0.103971	108	2443	108	2443
Multi-Family with 2 - 4 Units	PA, 03404	0.889174	0.110826	72	1561	72	1561
Multi-Family with 5+ Units	PA, 03404	0.892522	0.107478	104	2661	104	2661
Single-Family Attached	PA, 03404	0.96433	0.0356697	194	4009	194	4009
Single-Family Detached	PA, 03404	0.960641	0.0393588	1917	32064	1917	32064
Mobile Home	PA, 03501	1	0	10	266	10	266
Multi-Family with 2 - 4 Units	PA, 03501	0.926067	0.073933	182	6303	182	6303
Multi-Family with 5+ Units	PA, 03501	0.894438	0.105562	290	10752	290	10752
Single-Family Attached	PA, 03501	0.947044	0.0529558	617	16882	617	16882
Single-Family Detached	PA, 03501	0.963787	0.0362134	536	14884	536	14884
Mobile Home	PA, 03502	1	0	48	1534	48	1534
Multi-Family with 2 - 4 Units	PA, 03502	0.93088	0.0691197	92	2908	92	2908
Multi-Family with 5+ Units	PA, 03502	0.923492	0.0765077	163	5555	163	5555
Single-Family Attached	PA, 03502	0.954172	0.0458279	301	9252	301	9252
Single-Family Detached	PA, 03502	0.973972	0.0260281	945	26164	945	26164
Mobile Home	PA, 03503	0.939597	0.0604027	177	4321	177	4321
Multi-Family with 2 - 4 Units	PA, 03503	0.926993	0.073007	150	3575	150	3575
Multi-Family with 5+ Units	PA, 03503	0.940214	0.0597863	171	4399	171	4399
Single-Family Attached	PA, 03503	0.949539	0.0504608	373	8898	373	8898
Single-Family Detached	PA, 03503	0.97629	0.0237096	1951	40996	1951	40996
Mobile Home	PA, 03504	1	0	46	1332	46	1332
Multi-Family with 2 - 4 Units	PA, 03504	0.953409	0.0465909	75	2640	75	2640
Multi-Family with 5+ Units	PA, 03504	0.952984	0.0470163	188	7189	188	7189
Single-Family Attached	PA, 03504	0.925324	0.0746756	299	10097	299	10097
Single-Family Detached	PA, 03504	0.964344	0.0356559	1163	33038	1163	33038
Mobile Home	PA, 03601	1	0	20	592	20	592
Multi-Family with 2 - 4 Units	PA, 03601	0.888979	0.111021	240	7377	240	7377
Multi-Family with 5+ Units	PA, 03601	0.883096	0.116904	298	9341	298	9341
Single-Family Attached	PA, 03601	0.890628	0.109372	640	17317	640	17317
Single-Family Detached	PA, 03601	0.963875	0.0361253	1396	34325	1396	34325
Mobile Home	PA, 03602	0.906878	0.0931219	180	5423	180	5423
Multi-Family with 2 - 4 Units	PA, 03602	0.884987	0.115013	98	1965	98	1965
Multi-Family with 5+ Units	PA, 03602	0.848894	0.151106	95	2667	95	2667
Single-Family Attached	PA, 03602	0.966577	0.0334233	280	6672	280	6672
Single-Family Detached	PA, 03602	0.958095	0.0419047	1648	37466	1648	37466
Mobile Home	PA, 03603	0.901358	0.0986417	147	3092	147	3092
Multi-Family with 2 - 4 Units	PA, 03603	0.849387	0.150613	139	3426	139	3426
Multi-Family with 5+ Units	PA, 03603	0.894028	0.105972	111	2746	111	2746
Single-Family Attached	PA, 03603	0.908355	0.0916454	284	6667	284	6667
Single-Family Detached	PA, 03603	0.955214	0.0447857	2400	45059	2400	45059
Mobile Home	PA, 03701	0.92219	0.0778098	190	3470	190	3470
Multi-Family with 2 - 4 Units	PA, 03701	0.878083	0.121917	185	4216	185	4216
Multi-Family with 5+ Units	PA, 03701	0.829221	0.170779	138	3080	138	3080
Single-Family Attached	PA, 03701	0.962833	0.0371666	267	4574	267	4574
Single-Family Detached	PA, 03701	0.935736	0.0642636	2370	38700	2370	38700
Mobile Home	PA, 03702	0.89459	0.10541	146	4288	146	4288
Multi-Family with 2 - 4 Units	PA, 03702	0.880119	0.119881	122	3687	122	3687
Multi-Family with 5+ Units	PA, 03702	0.936031	0.0639687	96	3064	96	3064
Single-Family Attached	PA, 03702	0.941704	0.058296	210	5798	210	5798
Single-Family Detached	PA, 03702	0.92984	0.0701602	1512	36830	1512	36830
Mobile Home	PA, 03800	0.733035	0.266965	871	9372	871	9372
Multi-Family with 2 - 4 Units	PA, 03800	0.773746	0.226254	249	3748	249	3748
Multi-Family with 5+ Units	PA, 03800	0.641451	0.358549	252	3556	252	3556
Single-Family Attached	PA, 03800	0.610342	0.389658	209	2746	209	2746
Single-Family Detached	PA, 03800	0.824969	0.175031	5271	50654	5271	50654
Mobile Home	PA, 03900	0.83228	0.16772	332	6964	332	6964
Multi-Family with 2 - 4 Units	PA, 03900	0.770417	0.229583	166	3502	166	3502
Multi-Family with 5+ Units	PA, 03900	0.875554	0.124446	167	4058	167	4058
Single-Family Attached	PA, 03900	0.708293	0.291707	125	3099	125	3099
Single-Family Detached	PA, 03900	0.879234	0.120766	2513	46172	2513	46172
Mobile Home	PA, 04001	0.863453	0.136547	168	3215	168	3215
Multi-Family with 2 - 4 Units	PA, 04001	0.798185	0.201815	168	4187	168	4187
Multi-Family with 5+ Units	PA, 04001	0.859297	0.140703	222	5238	222	5238
Single-Family Attached	PA, 04001	0.884142	0.115858	200	5196	200	5196
Single-Family Detached	PA, 04001	0.931932	0.0680676	2430	46968	2430	46968
Mobile Home	PA, 04002	0.747748	0.252252	382	4884	382	4884
Multi-Family with 2 - 4 Units	PA, 04002	0.63051	0.36949	142	2904	142	2904
Multi-Family with 5+ Units	PA, 04002	0.775407	0.224593	133	2952	133	2952
Single-Family Attached	PA, 04002	0.842788	0.157212	109	1851	109	1851
Single-Family Detached	PA, 04002	0.874674	0.125326	2705	35284	2705	35284
Mobile Home	RI, 00101	0.96875	0.03125	28	608	28	608
Multi-Family with 2 - 4 Units	RI, 00101	0.847426	0.152574	568	12879	568	12879
Multi-Family with 5+ Units	RI, 00101	0.891699	0.108301	486	10951	486	10951
Single-Family Attached	RI, 00101	0.953684	0.0463158	102	1900	102	1900
Single-Family Detached	RI, 00101	0.93138	0.06862	1809	35529	1809	35529
Mobile Home	RI, 00102	0.916462	0.0835381	25	407	25	407
Multi-Family with 2 - 4 Units	RI, 00102	0.850275	0.149725	1200	25460	1200	25460
Multi-Family with 5+ Units	RI, 00102	0.907487	0.0925131	756	16776	756	16776
Single-Family Attached	RI, 00102	0.907009	0.0929915	155	2925	155	2925
Single-Family Detached	RI, 00102	0.958237	0.0417628	1853	31200	1853	31200
Mobile Home	RI, 00103	0.779791	0.220209	4	109	230	4691
Multi-Family with 2 - 4 Units	RI, 00103	0.769775	0.230225	1418	36030	1418	36030
Multi-Family with 5+ Units	RI, 00103	0.877838	0.122162	771	18369	771	18369
Single-Family Attached	RI, 00103	0.935408	0.0645922	97	2121	97	2121
Single-Family Detached	RI, 00103	0.922186	0.0778137	828	17015	828	17015
Mobile Home	RI, 00104	0.779791	0.220209	6	150	230	4691
Multi-Family with 2 - 4 Units	RI, 00104	0.857439	0.142561	435	10129	435	10129
Multi-Family with 5+ Units	RI, 00104	0.943839	0.0561615	417	9811	417	9811
Single-Family Attached	RI, 00104	0.954961	0.0450392	86	1532	86	1532
Single-Family Detached	RI, 00104	0.949826	0.0501743	1708	32407	1708	32407
Mobile Home	RI, 00201	0.922374	0.0776256	60	1095	60	1095
Multi-Family with 2 - 4 Units	RI, 00201	0.907509	0.092491	293	7471	293	7471
Multi-Family with 5+ Units	RI, 00201	0.915555	0.0844454	549	13263	549	13263
Single-Family Attached	RI, 00201	0.922983	0.0770171	127	2454	127	2454
Single-Family Detached	RI, 00201	0.942783	0.057217	2693	50090	2693	50090
Mobile Home	RI, 00300	0.835891	0.164109	42	847	42	847
Multi-Family with 2 - 4 Units	RI, 00300	0.820083	0.179917	549	11622	549	11622
Multi-Family with 5+ Units	RI, 00300	0.802976	0.197024	387	8065	387	8065
Single-Family Attached	RI, 00300	0.845956	0.154044	188	3103	188	3103
Single-Family Detached	RI, 00300	0.866878	0.133122	2257	40001	2257	40001
Mobile Home	RI, 00400	0.487458	0.512542	65	1475	65	1475
Multi-Family with 2 - 4 Units	RI, 00400	0.82221	0.17779	246	5529	246	5529
Multi-Family with 5+ Units	RI, 00400	0.804328	0.195672	228	5453	228	5453
Single-Family Attached	RI, 00400	0.900482	0.0995185	113	1869	113	1869
Single-Family Detached	RI, 00400	0.760072	0.239928	2780	49690	2780	49690
Mobile Home	SC, 00101	0.816844	0.183156	885	19033	885	19033
Multi-Family with 2 - 4 Units	SC, 00101	0.792199	0.207801	171	4538	171	4538
Multi-Family with 5+ Units	SC, 00101	0.881673	0.118327	302	8654	302	8654
Single-Family Attached	SC, 00101	0.877193	0.122807	62	1254	62	1254
Single-Family Detached	SC, 00101	0.850917	0.149083	3237	61147	3237	61147
Mobile Home	SC, 00102	0.839563	0.160437	288	6127	288	6127
Multi-Family with 2 - 4 Units	SC, 00102	0.922444	0.0775558	41	851	41	851
Multi-Family with 5+ Units	SC, 00102	0.84336	0.15664	137	3690	137	3690
Single-Family Attached	SC, 00102	0.977226	0.0227743	72	1449	72	1449
Single-Family Detached	SC, 00102	0.922839	0.077161	1750	33307	1750	33307
Mobile Home	SC, 00103	0.875054	0.124946	299	6931	299	6931
Multi-Family with 2 - 4 Units	SC, 00103	0.919063	0.0809375	149	3200	149	3200
Multi-Family with 5+ Units	SC, 00103	0.855751	0.144249	429	10676	429	10676
Single-Family Attached	SC, 00103	0.934977	0.0650234	135	2353	135	2353
Single-Family Detached	SC, 00103	0.93805	0.0619501	2691	47393	2691	47393
Mobile Home	SC, 00104	0.776105	0.223895	41	1063	41	1063
Multi-Family with 2 - 4 Units	SC, 00104	0.911733	0.0882672	239	4611	239	4611
Multi-Family with 5+ Units	SC, 00104	0.861539	0.138461	768	15759	768	15759
Single-Family Attached	SC, 00104	0.959772	0.0402282	204	3505	204	3505
Single-Family Detached	SC, 00104	0.921949	0.078051	1798	30416	1798	30416
Mobile Home	SC, 00105	0.808533	0.191467	732	14462	732	14462
Multi-Family with 2 - 4 Units	SC, 00105	0.854028	0.145972	71	2110	71	2110
Multi-Family with 5+ Units	SC, 00105	0.881164	0.118836	118	3711	118	3711
Single-Family Attached	SC, 00105	0.868235	0.131765	39	850	39	850
Single-Family Detached	SC, 00105	0.900922	0.0990776	2443	49981	2443	49981
Mobile Home	SC, 00200	0.799523	0.200477	588	15513	588	15513
Multi-Family with 2 - 4 Units	SC, 00200	0.765615	0.234385	121	3042	121	3042
Multi-Family with 5+ Units	SC, 00200	0.853236	0.146764	259	6875	259	6875
Single-Family Attached	SC, 00200	0.887466	0.112534	59	1484	59	1484
Single-Family Detached	SC, 00200	0.895405	0.104595	2928	61303	2928	61303
Mobile Home	SC, 00301	0.829725	0.170275	180	4434	180	4434
Multi-Family with 2 - 4 Units	SC, 00301	0.847817	0.152183	237	4902	237	4902
Multi-Family with 5+ Units	SC, 00301	0.807974	0.192026	365	8452	365	8452
Single-Family Attached	SC, 00301	1	0	75	1295	75	1295
Single-Family Detached	SC, 00301	0.908437	0.0915627	1990	34774	1990	34774
Mobile Home	SC, 00302	0.865362	0.134638	577	12931	577	12931
Multi-Family with 2 - 4 Units	SC, 00302	0.916715	0.0832848	90	1717	90	1717
Multi-Family with 5+ Units	SC, 00302	0.895265	0.104735	101	2492	101	2492
Single-Family Attached	SC, 00302	0.988212	0.0117878	54	1018	54	1018
Single-Family Detached	SC, 00302	0.921982	0.0780184	3026	57589	3026	57589
Mobile Home	SC, 00400	0.800554	0.199446	884	16982	884	16982
Multi-Family with 2 - 4 Units	SC, 00400	0.815088	0.184912	129	3115	129	3115
Multi-Family with 5+ Units	SC, 00400	0.85331	0.14669	145	3429	145	3429
Single-Family Attached	SC, 00400	0.956954	0.0430464	27	302	27	302
Single-Family Detached	SC, 00400	0.840595	0.159405	2890	47878	2890	47878
Mobile Home	SC, 00501	0.910509	0.0894906	436	8716	436	8716
Multi-Family with 2 - 4 Units	SC, 00501	0.773927	0.226073	30	606	30	606
Multi-Family with 5+ Units	SC, 00501	0.925241	0.0747594	128	4053	128	4053
Single-Family Attached	SC, 00501	0.96258	0.0374197	136	3581	136	3581
Single-Family Detached	SC, 00501	0.952851	0.0471492	1763	34359	1763	34359
Mobile Home	SC, 00502	0.869831	0.130169	75	2128	75	2128
Multi-Family with 2 - 4 Units	SC, 00502	0.936655	0.0633449	105	2589	105	2589
Multi-Family with 5+ Units	SC, 00502	0.90999	0.0900103	346	9710	346	9710
Single-Family Attached	SC, 00502	0.988521	0.0114787	134	2962	134	2962
Single-Family Detached	SC, 00502	0.95168	0.0483204	1993	38700	1993	38700
Mobile Home	SC, 00601	0.813808	0.186192	1053	20409	1053	20409
Multi-Family with 2 - 4 Units	SC, 00601	0.877835	0.122165	66	1367	66	1367
Multi-Family with 5+ Units	SC, 00601	0.89226	0.10774	129	2933	129	2933
Single-Family Attached	SC, 00601	0.923941	0.0760588	83	1157	83	1157
