Dependency=Geometry Building Type RECS	Dependency=PUMA	Dependency=Vacancy Status	Option=Not Available	Option=Owner	Option=Renter	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 2 - 4 Units	TX, 04905	Occupied	0	0.216216	0.783784	13	259	13	259
Multi-Family with 2 - 4 Units	TX, 04905	Vacant	1	0	0	1	18	2005	66581
Multi-Family with 5+ Units	TX, 04905	Occupied	0	0.00679694	0.993203	62	2354	62	2354
Multi-Family with 5+ Units	TX, 04905	Vacant	1	0	0	7	515	7828	289770
Single-Family Attached	TX, 04905	Occupied	0	0.723545	0.276455	22	756	22	756
Single-Family Attached	TX, 04905	Vacant	1	0	0	3	241	894	25835
Single-Family Detached	TX, 04905	Occupied	0	0.899007	0.100993	2069	62549	2069	62549
Single-Family Detached	TX, 04905	Vacant	1	0	0	89	3301	89	3301
Mobile Home	TX, 05000	Occupied	0	0.696328	0.303672	498	11002	498	11002
Mobile Home	TX, 05000	Vacant	1	0	0	123	3057	123	3057
Multi-Family with 2 - 4 Units	TX, 05000	Occupied	0	0.0305367	0.969463	136	3242	136	3242
Multi-Family with 2 - 4 Units	TX, 05000	Vacant	1	0	0	27	716	27	716
Multi-Family with 5+ Units	TX, 05000	Occupied	0	0.00163819	0.998362	154	4273	154	4273
Multi-Family with 5+ Units	TX, 05000	Vacant	1	0	0	29	985	29	985
Single-Family Attached	TX, 05000	Occupied	0	0.551282	0.448718	47	858	47	858
Single-Family Attached	TX, 05000	Vacant	1	0	0	2	44	363	7116
Single-Family Detached	TX, 05000	Occupied	0	0.830848	0.169152	2525	43594	2525	43594
Single-Family Detached	TX, 05000	Vacant	1	0	0	455	10424	455	10424
Mobile Home	TX, 05100	Occupied	0	0.790654	0.209346	626	12348	626	12348
Mobile Home	TX, 05100	Vacant	1	0	0	112	2788	112	2788
Multi-Family with 2 - 4 Units	TX, 05100	Occupied	0	0.0597484	0.940252	88	1908	88	1908
Multi-Family with 2 - 4 Units	TX, 05100	Vacant	1	0	0	9	293	1721	41508
Multi-Family with 5+ Units	TX, 05100	Occupied	0	0.00489896	0.995101	70	1633	70	1633
Multi-Family with 5+ Units	TX, 05100	Vacant	1	0	0	12	489	12	489
Single-Family Attached	TX, 05100	Occupied	0	0.6053	0.3947	40	717	40	717
Single-Family Attached	TX, 05100	Vacant	1	0	0	3	40	363	7116
Single-Family Detached	TX, 05100	Occupied	0	0.823975	0.176025	2188	37597	2188	37597
Single-Family Detached	TX, 05100	Vacant	1	0	0	400	8861	400	8861
Mobile Home	TX, 05201	Occupied	0	0.702136	0.297864	201	2669	201	2669
Mobile Home	TX, 05201	Vacant	1	0	0	14	247	14	247
Multi-Family with 2 - 4 Units	TX, 05201	Occupied	0	0.037448	0.962552	98	2163	98	2163
Multi-Family with 2 - 4 Units	TX, 05201	Vacant	1	0	0	14	452	14	452
Multi-Family with 5+ Units	TX, 05201	Occupied	0	0.00969865	0.990301	144	2887	144	2887
Multi-Family with 5+ Units	TX, 05201	Vacant	1	0	0	11	441	11	441
Single-Family Attached	TX, 05201	Occupied	0	0.497502	0.502498	69	1401	69	1401
Single-Family Attached	TX, 05201	Vacant	1	0	0	2	102	894	25835
Single-Family Detached	TX, 05201	Occupied	0	0.872785	0.127215	2511	38934	2511	38934
Single-Family Detached	TX, 05201	Vacant	1	0	0	88	1859	88	1859
Mobile Home	TX, 05202	Occupied	0	0.845753	0.154247	3	56	1587	31106
Mobile Home	TX, 05202	Vacant	1	0	0	0	0	36	1310
Multi-Family with 2 - 4 Units	TX, 05202	Occupied	0	0.10122	0.89878	60	1393	60	1393
Multi-Family with 2 - 4 Units	TX, 05202	Vacant	1	0	0	6	216	2005	66581
Multi-Family with 5+ Units	TX, 05202	Occupied	0	0	1	252	7216	252	7216
Multi-Family with 5+ Units	TX, 05202	Vacant	1	0	0	31	1708	31	1708
Single-Family Attached	TX, 05202	Occupied	0	0.421535	0.578465	47	873	47	873
Single-Family Attached	TX, 05202	Vacant	1	0	0	2	104	894	25835
Single-Family Detached	TX, 05202	Occupied	0	0.84628	0.15372	1584	31050	1584	31050
Single-Family Detached	TX, 05202	Vacant	1	0	0	36	1310	36	1310
Mobile Home	TX, 05203	Occupied	0	0.865938	0.134062	5	147	1389	25145
Mobile Home	TX, 05203	Vacant	1	0	0	1	47	24	996
Multi-Family with 2 - 4 Units	TX, 05203	Occupied	0	0.1544	0.8456	89	1807	89	1807
Multi-Family with 2 - 4 Units	TX, 05203	Vacant	1	0	0	10	454	10	454
Multi-Family with 5+ Units	TX, 05203	Occupied	0	0.0130171	0.986983	533	13367	533	13367
Multi-Family with 5+ Units	TX, 05203	Vacant	1	0	0	36	1649	36	1649
Single-Family Attached	TX, 05203	Occupied	0	0.470064	0.529936	86	1570	86	1570
Single-Family Attached	TX, 05203	Vacant	1	0	0	4	231	894	25835
Single-Family Detached	TX, 05203	Occupied	0	0.865149	0.134851	1384	24998	1384	24998
Single-Family Detached	TX, 05203	Vacant	1	0	0	23	949	23	949
Mobile Home	TX, 05204	Occupied	0	0.63109	0.36891	56	1293	56	1293
Mobile Home	TX, 05204	Vacant	1	0	0	3	26	41	1522
Multi-Family with 2 - 4 Units	TX, 05204	Occupied	0	0.0447761	0.955224	38	737	38	737
Multi-Family with 2 - 4 Units	TX, 05204	Vacant	1	0	0	4	73	2005	66581
Multi-Family with 5+ Units	TX, 05204	Occupied	0	0.00502207	0.994978	278	6571	278	6571
Multi-Family with 5+ Units	TX, 05204	Vacant	1	0	0	24	965	24	965
Single-Family Attached	TX, 05204	Occupied	0	0.677419	0.322581	39	620	39	620
Single-Family Attached	TX, 05204	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 05204	Occupied	0	0.86433	0.13567	2219	40407	2219	40407
Single-Family Detached	TX, 05204	Vacant	1	0	0	38	1496	38	1496
Mobile Home	TX, 05301	Occupied	0	0.670577	0.329423	83	3069	83	3069
Mobile Home	TX, 05301	Vacant	1	0	0	5	149	36	1471
Multi-Family with 2 - 4 Units	TX, 05301	Occupied	0	0.0264865	0.973514	68	1850	68	1850
Multi-Family with 2 - 4 Units	TX, 05301	Vacant	1	0	0	1	35	2005	66581
Multi-Family with 5+ Units	TX, 05301	Occupied	0	0	1	233	6646	233	6646
Multi-Family with 5+ Units	TX, 05301	Vacant	1	0	0	17	732	17	732
Single-Family Attached	TX, 05301	Occupied	0	0.483645	0.516355	32	856	32	856
Single-Family Attached	TX, 05301	Vacant	1	0	0	1	37	894	25835
Single-Family Detached	TX, 05301	Occupied	0	0.857477	0.142523	1304	36352	1304	36352
Single-Family Detached	TX, 05301	Vacant	1	0	0	31	1322	31	1322
Mobile Home	TX, 05302	Occupied	0	0.490141	0.509859	15	355	15	355
Mobile Home	TX, 05302	Vacant	1	0	0	0	0	21	691
Multi-Family with 2 - 4 Units	TX, 05302	Occupied	0	0.0996135	0.900387	225	5692	225	5692
Multi-Family with 2 - 4 Units	TX, 05302	Vacant	1	0	0	15	468	15	468
Multi-Family with 5+ Units	TX, 05302	Occupied	0	0.00951745	0.990483	917	23956	917	23956
Multi-Family with 5+ Units	TX, 05302	Vacant	1	0	0	97	3396	97	3396
Single-Family Attached	TX, 05302	Occupied	0	0.447031	0.552969	115	2105	115	2105
Single-Family Attached	TX, 05302	Vacant	1	0	0	5	88	894	25835
Single-Family Detached	TX, 05302	Occupied	0	0.79986	0.20014	1044	17088	1044	17088
Single-Family Detached	TX, 05302	Vacant	1	0	0	21	691	21	691
Mobile Home	TX, 05303	Occupied	0	0.725171	0.274829	104	3071	104	3071
Mobile Home	TX, 05303	Vacant	1	0	0	5	150	68	1830
Multi-Family with 2 - 4 Units	TX, 05303	Occupied	0	0.0685365	0.931463	185	4421	185	4421
Multi-Family with 2 - 4 Units	TX, 05303	Vacant	1	0	0	16	544	16	544
Multi-Family with 5+ Units	TX, 05303	Occupied	0	0.0121666	0.987833	740	17507	740	17507
Multi-Family with 5+ Units	TX, 05303	Vacant	1	0	0	61	2071	61	2071
Single-Family Attached	TX, 05303	Occupied	0	0.508311	0.491689	152	2587	152	2587
Single-Family Attached	TX, 05303	Vacant	1	0	0	10	242	10	242
Single-Family Detached	TX, 05303	Occupied	0	0.78602	0.21398	1606	26853	1606	26853
Single-Family Detached	TX, 05303	Vacant	1	0	0	63	1680	63	1680
Mobile Home	TX, 05304	Occupied	0	0.580148	0.419852	117	3113	117	3113
Mobile Home	TX, 05304	Vacant	1	0	0	6	116	52	1454
Multi-Family with 2 - 4 Units	TX, 05304	Occupied	0	0.12131	0.87869	182	4031	182	4031
Multi-Family with 2 - 4 Units	TX, 05304	Vacant	1	0	0	13	415	13	415
Multi-Family with 5+ Units	TX, 05304	Occupied	0	0.0297289	0.970271	1001	23277	1001	23277
Multi-Family with 5+ Units	TX, 05304	Vacant	1	0	0	94	2640	94	2640
Single-Family Attached	TX, 05304	Occupied	0	0.56013	0.43987	104	2162	104	2162
Single-Family Attached	TX, 05304	Vacant	1	0	0	8	236	894	25835
Single-Family Detached	TX, 05304	Occupied	0	0.735335	0.264665	903	19417	903	19417
Single-Family Detached	TX, 05304	Vacant	1	0	0	46	1338	46	1338
Mobile Home	TX, 05305	Occupied	0	0.3861	0.6139	11	259	11	259
Mobile Home	TX, 05305	Vacant	1	0	0	2	60	34	990
Multi-Family with 2 - 4 Units	TX, 05305	Occupied	0	0.189142	0.810858	77	1713	77	1713
Multi-Family with 2 - 4 Units	TX, 05305	Vacant	1	0	0	4	181	2005	66581
Multi-Family with 5+ Units	TX, 05305	Occupied	0	0.0486358	0.951364	409	12645	409	12645
Multi-Family with 5+ Units	TX, 05305	Vacant	1	0	0	27	1522	27	1522
Single-Family Attached	TX, 05305	Occupied	0	0.514164	0.485836	77	1412	77	1412
Single-Family Attached	TX, 05305	Vacant	1	0	0	6	220	894	25835
Single-Family Detached	TX, 05305	Occupied	0	0.935897	0.0641034	1648	31496	1648	31496
Single-Family Detached	TX, 05305	Vacant	1	0	0	32	930	32	930
Mobile Home	TX, 05306	Occupied	0	0.762947	0.237053	7	146	1469	25045
Mobile Home	TX, 05306	Vacant	1	0	0	0	0	66	2495
Multi-Family with 2 - 4 Units	TX, 05306	Occupied	0	0.151948	0.848052	280	6160	280	6160
Multi-Family with 2 - 4 Units	TX, 05306	Vacant	1	0	0	20	649	20	649
Multi-Family with 5+ Units	TX, 05306	Occupied	0	0.121992	0.878008	1354	30215	1354	30215
Multi-Family with 5+ Units	TX, 05306	Vacant	1	0	0	133	5240	133	5240
Single-Family Attached	TX, 05306	Occupied	0	0.511875	0.488125	226	3958	226	3958
Single-Family Attached	TX, 05306	Vacant	1	0	0	11	336	11	336
Single-Family Detached	TX, 05306	Occupied	0	0.764689	0.235311	1462	24899	1462	24899
Single-Family Detached	TX, 05306	Vacant	1	0	0	66	2495	66	2495
Mobile Home	TX, 05307	Occupied	0	0.664395	0.335605	25	587	25	587
Mobile Home	TX, 05307	Vacant	1	0	0	1	11	41	1391
Multi-Family with 2 - 4 Units	TX, 05307	Occupied	0	0.159677	0.840323	251	5079	251	5079
Multi-Family with 2 - 4 Units	TX, 05307	Vacant	1	0	0	12	337	12	337
Multi-Family with 5+ Units	TX, 05307	Occupied	0	0.0716952	0.928305	957	20629	957	20629
Multi-Family with 5+ Units	TX, 05307	Vacant	1	0	0	77	3117	77	3117
Single-Family Attached	TX, 05307	Occupied	0	0.306734	0.693266	214	4737	214	4737
Single-Family Attached	TX, 05307	Vacant	1	0	0	10	349	10	349
Single-Family Detached	TX, 05307	Occupied	0	0.748161	0.251839	1382	27736	1382	27736
Single-Family Detached	TX, 05307	Vacant	1	0	0	40	1380	40	1380
Mobile Home	TX, 05308	Occupied	0	0.637708	0.362292	17	541	17	541
Mobile Home	TX, 05308	Vacant	1	0	0	1	33	32	1207
Multi-Family with 2 - 4 Units	TX, 05308	Occupied	0	0.267359	0.732641	72	1541	72	1541
Multi-Family with 2 - 4 Units	TX, 05308	Vacant	1	0	0	1	54	2005	66581
Multi-Family with 5+ Units	TX, 05308	Occupied	0	0.0205486	0.979451	441	10901	441	10901
Multi-Family with 5+ Units	TX, 05308	Vacant	1	0	0	33	1441	33	1441
Single-Family Attached	TX, 05308	Occupied	0	0.527778	0.472222	78	1764	78	1764
Single-Family Attached	TX, 05308	Vacant	1	0	0	6	207	894	25835
Single-Family Detached	TX, 05308	Occupied	0	0.883481	0.116519	1893	34312	1893	34312
Single-Family Detached	TX, 05308	Vacant	1	0	0	31	1174	31	1174
Mobile Home	TX, 05309	Occupied	0	0.778133	0.221867	281	5323	281	5323
Mobile Home	TX, 05309	Vacant	1	0	0	27	707	27	707
Multi-Family with 2 - 4 Units	TX, 05309	Occupied	0	0.190893	0.809107	34	571	34	571
Multi-Family with 2 - 4 Units	TX, 05309	Vacant	1	0	0	1	60	2005	66581
Multi-Family with 5+ Units	TX, 05309	Occupied	0	0.0981405	0.90186	119	2904	119	2904
Multi-Family with 5+ Units	TX, 05309	Vacant	1	0	0	30	1151	30	1151
Single-Family Attached	TX, 05309	Occupied	0	0.477371	0.522629	93	1613	93	1613
Single-Family Attached	TX, 05309	Vacant	1	0	0	25	450	25	450
Single-Family Detached	TX, 05309	Occupied	0	0.903727	0.096273	2292	36812	2292	36812
Single-Family Detached	TX, 05309	Vacant	1	0	0	142	3595	142	3595
Mobile Home	TX, 05400	Occupied	0	0.727517	0.272483	287	7083	287	7083
Mobile Home	TX, 05400	Vacant	1	0	0	20	628	20	628
Multi-Family with 2 - 4 Units	TX, 05400	Occupied	0	0.0486973	0.951303	138	4107	138	4107
Multi-Family with 2 - 4 Units	TX, 05400	Vacant	1	0	0	7	254	2005	66581
Multi-Family with 5+ Units	TX, 05400	Occupied	0	0.00749679	0.992503	440	14006	440	14006
Multi-Family with 5+ Units	TX, 05400	Vacant	1	0	0	39	1586	39	1586
Single-Family Attached	TX, 05400	Occupied	0	0.362229	0.637771	65	1292	65	1292
Single-Family Attached	TX, 05400	Vacant	1	0	0	3	117	894	25835
Single-Family Detached	TX, 05400	Occupied	0	0.830944	0.169056	2302	46949	2302	46949
Single-Family Detached	TX, 05400	Vacant	1	0	0	102	2693	102	2693
Mobile Home	TX, 05500	Occupied	0	0.786241	0.213759	765	9623	765	9623
Mobile Home	TX, 05500	Vacant	1	0	0	154	2488	154	2488
Multi-Family with 2 - 4 Units	TX, 05500	Occupied	0	0.0376259	0.962374	119	1887	119	1887
Multi-Family with 2 - 4 Units	TX, 05500	Vacant	1	0	0	19	384	19	384
Multi-Family with 5+ Units	TX, 05500	Occupied	0	0.00231125	0.997689	81	1298	81	1298
Multi-Family with 5+ Units	TX, 05500	Vacant	1	0	0	21	518	21	518
Single-Family Attached	TX, 05500	Occupied	0	0.44375	0.55625	28	320	28	320
Single-Family Attached	TX, 05500	Vacant	1	0	0	2	37	363	7116
Single-Family Detached	TX, 05500	Occupied	0	0.814975	0.185025	3050	36768	3050	36768
Single-Family Detached	TX, 05500	Vacant	1	0	0	568	9465	568	9465
Mobile Home	TX, 05600	Occupied	0	0.696095	0.303905	237	4021	237	4021
Mobile Home	TX, 05600	Vacant	1	0	0	88	2211	88	2211
Multi-Family with 2 - 4 Units	TX, 05600	Occupied	0	0.0203448	0.979655	125	2900	125	2900
Multi-Family with 2 - 4 Units	TX, 05600	Vacant	1	0	0	26	975	26	975
Multi-Family with 5+ Units	TX, 05600	Occupied	0	0	1	163	3653	163	3653
Multi-Family with 5+ Units	TX, 05600	Vacant	1	0	0	36	1163	36	1163
Single-Family Attached	TX, 05600	Occupied	0	0.452778	0.547222	23	360	23	360
Single-Family Attached	TX, 05600	Vacant	1	0	0	3	51	363	7116
Single-Family Detached	TX, 05600	Occupied	0	0.82262	0.17738	1703	28904	1703	28904
Single-Family Detached	TX, 05600	Vacant	1	0	0	226	4923	226	4923
Mobile Home	TX, 05700	Occupied	0	0.804293	0.195707	382	7501	382	7501
Mobile Home	TX, 05700	Vacant	1	0	0	22	613	22	613
Multi-Family with 2 - 4 Units	TX, 05700	Occupied	0	0.0444251	0.955575	51	1148	51	1148
Multi-Family with 2 - 4 Units	TX, 05700	Vacant	1	0	0	5	153	2005	66581
Multi-Family with 5+ Units	TX, 05700	Occupied	0	0.00909091	0.990909	136	3080	136	3080
Multi-Family with 5+ Units	TX, 05700	Vacant	1	0	0	7	266	7828	289770
Single-Family Attached	TX, 05700	Occupied	0	0.451264	0.548736	28	554	28	554
Single-Family Attached	TX, 05700	Vacant	1	0	0	0	0	894	25835
Single-Family Detached	TX, 05700	Occupied	0	0.840605	0.159395	2486	41827	2486	41827
Single-Family Detached	TX, 05700	Vacant	1	0	0	113	3264	113	3264
Mobile Home	TX, 05800	Occupied	0	0.665874	0.334126	246	5046	246	5046
Mobile Home	TX, 05800	Vacant	1	0	0	23	851	23	851
Multi-Family with 2 - 4 Units	TX, 05800	Occupied	0	0.0769231	0.923077	71	1677	71	1677
Multi-Family with 2 - 4 Units	TX, 05800	Vacant	1	0	0	10	428	10	428
Multi-Family with 5+ Units	TX, 05800	Occupied	0	0.0178433	0.982157	181	5156	181	5156
Multi-Family with 5+ Units	TX, 05800	Vacant	1	0	0	32	1485	32	1485
Single-Family Attached	TX, 05800	Occupied	0	0.395245	0.604755	41	673	41	673
Single-Family Attached	TX, 05800	Vacant	1	0	0	3	77	894	25835
Single-Family Detached	TX, 05800	Occupied	0	0.904004	0.0959963	1957	38814	1957	38814
Single-Family Detached	TX, 05800	Vacant	1	0	0	121	3974	121	3974
Mobile Home	TX, 05901	Occupied	0	0.662411	0.337589	6	128	1485	23262
Mobile Home	TX, 05901	Vacant	1	0	0	1	16	137	3030
Multi-Family with 2 - 4 Units	TX, 05901	Occupied	0	0.0502587	0.949741	160	2706	160	2706
Multi-Family with 2 - 4 Units	TX, 05901	Vacant	1	0	0	36	811	36	811
Multi-Family with 5+ Units	TX, 05901	Occupied	0	0.067149	0.932851	511	7878	511	7878
Multi-Family with 5+ Units	TX, 05901	Vacant	1	0	0	62	1660	62	1660
Single-Family Attached	TX, 05901	Occupied	0	0.47795	0.52205	70	839	70	839
Single-Family Attached	TX, 05901	Vacant	1	0	0	4	96	391	8495
Single-Family Detached	TX, 05901	Occupied	0	0.664736	0.335264	1479	23134	1479	23134
Single-Family Detached	TX, 05901	Vacant	1	0	0	136	3014	136	3014
Mobile Home	TX, 05902	Occupied	0	0.402985	0.597015	16	268	16	268
Mobile Home	TX, 05902	Vacant	1	0	0	4	134	93	2607
Multi-Family with 2 - 4 Units	TX, 05902	Occupied	0	0.110379	0.889621	223	4702	223	4702
Multi-Family with 2 - 4 Units	TX, 05902	Vacant	1	0	0	23	751	23	751
Multi-Family with 5+ Units	TX, 05902	Occupied	0	0.087477	0.912523	536	14118	536	14118
Multi-Family with 5+ Units	TX, 05902	Vacant	1	0	0	65	2715	65	2715
Single-Family Attached	TX, 05902	Occupied	0	0.449264	0.550736	81	1222	81	1222
Single-Family Attached	TX, 05902	Vacant	1	0	0	3	95	894	25835
Single-Family Detached	TX, 05902	Occupied	0	0.725199	0.274801	1446	25826	1446	25826
Single-Family Detached	TX, 05902	Vacant	1	0	0	89	2473	89	2473
Mobile Home	TX, 05903	Occupied	0	0.628681	0.371319	37	781	37	781
Mobile Home	TX, 05903	Vacant	1	0	0	3	88	93	2207
Multi-Family with 2 - 4 Units	TX, 05903	Occupied	0	0.0498828	0.950117	152	2987	152	2987
Multi-Family with 2 - 4 Units	TX, 05903	Vacant	1	0	0	13	392	13	392
Multi-Family with 5+ Units	TX, 05903	Occupied	0	0.0103033	0.989697	313	6891	313	6891
Multi-Family with 5+ Units	TX, 05903	Vacant	1	0	0	38	1045	38	1045
Single-Family Attached	TX, 05903	Occupied	0	0.307578	0.692422	48	673	48	673
Single-Family Attached	TX, 05903	Vacant	1	0	0	6	108	391	8495
Single-Family Detached	TX, 05903	Occupied	0	0.733695	0.266305	1663	28381	1663	28381
Single-Family Detached	TX, 05903	Vacant	1	0	0	90	2119	90	2119
Mobile Home	TX, 05904	Occupied	0	0.7046	0.2954	18	413	18	413
Mobile Home	TX, 05904	Vacant	1	0	0	4	93	92	2472
Multi-Family with 2 - 4 Units	TX, 05904	Occupied	0	0.0363253	0.963675	185	3799	185	3799
Multi-Family with 2 - 4 Units	TX, 05904	Vacant	1	0	0	20	483	20	483
Multi-Family with 5+ Units	TX, 05904	Occupied	0	0.0170375	0.982962	339	7865	339	7865
Multi-Family with 5+ Units	TX, 05904	Vacant	1	0	0	39	1162	39	1162
Single-Family Attached	TX, 05904	Occupied	0	0.2509	0.7491	62	833	62	833
Single-Family Attached	TX, 05904	Vacant	1	0	0	7	169	894	25835
Single-Family Detached	TX, 05904	Occupied	0	0.748583	0.251417	1490	24525	1490	24525
Single-Family Detached	TX, 05904	Vacant	1	0	0	88	2379	88	2379
Mobile Home	TX, 05905	Occupied	0	0.509615	0.490385	26	624	26	624
Mobile Home	TX, 05905	Vacant	1	0	0	5	212	64	1650
Multi-Family with 2 - 4 Units	TX, 05905	Occupied	0	0.0174858	0.982514	105	2116	105	2116
Multi-Family with 2 - 4 Units	TX, 05905	Vacant	1	0	0	18	426	18	426
Multi-Family with 5+ Units	TX, 05905	Occupied	0	0.00324834	0.996752	291	6157	291	6157
Multi-Family with 5+ Units	TX, 05905	Vacant	1	0	0	46	892	46	892
Single-Family Attached	TX, 05905	Occupied	0	0.233415	0.766585	61	814	61	814
Single-Family Attached	TX, 05905	Vacant	1	0	0	7	85	894	25835
Single-Family Detached	TX, 05905	Occupied	0	0.748705	0.251295	1447	23745	1447	23745
Single-Family Detached	TX, 05905	Vacant	1	0	0	59	1438	59	1438
Mobile Home	TX, 05906	Occupied	0	0.745846	0.254154	51	1023	51	1023
Mobile Home	TX, 05906	Vacant	1	0	0	10	240	10	240
Multi-Family with 2 - 4 Units	TX, 05906	Occupied	0	0.0524038	0.947596	86	2080	86	2080
Multi-Family with 2 - 4 Units	TX, 05906	Vacant	1	0	0	8	166	1380	30260
Multi-Family with 5+ Units	TX, 05906	Occupied	0	0.0151602	0.98484	127	3496	127	3496
Multi-Family with 5+ Units	TX, 05906	Vacant	1	0	0	16	482	16	482
Single-Family Attached	TX, 05906	Occupied	0	0.540079	0.459921	39	761	39	761
Single-Family Attached	TX, 05906	Vacant	1	0	0	3	55	391	8495
Single-Family Detached	TX, 05906	Occupied	0	0.714637	0.285363	1531	27670	1531	27670
Single-Family Detached	TX, 05906	Vacant	1	0	0	81	1989	81	1989
Mobile Home	TX, 05907	Occupied	0	0.730438	0.269562	503	8243	503	8243
Mobile Home	TX, 05907	Vacant	1	0	0	36	893	36	893
Multi-Family with 2 - 4 Units	TX, 05907	Occupied	0	0.0537634	0.946237	27	372	27	372
Multi-Family with 2 - 4 Units	TX, 05907	Vacant	1	0	0	1	9	2005	66581
Multi-Family with 5+ Units	TX, 05907	Occupied	0	0	1	86	1596	86	1596
Multi-Family with 5+ Units	TX, 05907	Vacant	1	0	0	13	466	13	466
Single-Family Attached	TX, 05907	Occupied	0	0.359629	0.640371	44	431	44	431
Single-Family Attached	TX, 05907	Vacant	1	0	0	2	19	894	25835
Single-Family Detached	TX, 05907	Occupied	0	0.809217	0.190783	1414	22046	1414	22046
Single-Family Detached	TX, 05907	Vacant	1	0	0	71	1714	71	1714
Mobile Home	TX, 05908	Occupied	0	0.911271	0.088729	22	417	22	417
Mobile Home	TX, 05908	Vacant	1	0	0	0	0	22	775
Multi-Family with 2 - 4 Units	TX, 05908	Occupied	0	0.00537634	0.994624	39	1488	39	1488
Multi-Family with 2 - 4 Units	TX, 05908	Vacant	1	0	0	2	135	2005	66581
Multi-Family with 5+ Units	TX, 05908	Occupied	0	0	1	217	7943	217	7943
Multi-Family with 5+ Units	TX, 05908	Vacant	1	0	0	18	1161	18	1161
Single-Family Attached	TX, 05908	Occupied	0	0.557203	0.442797	44	944	44	944
Single-Family Attached	TX, 05908	Vacant	1	0	0	4	130	894	25835
Single-Family Detached	TX, 05908	Occupied	0	0.820737	0.179263	1327	27574	1327	27574
Single-Family Detached	TX, 05908	Vacant	1	0	0	22	775	22	775
Mobile Home	TX, 05909	Occupied	0	0.663342	0.336658	19	401	19	401
Mobile Home	TX, 05909	Vacant	1	0	0	1	32	28	945
Multi-Family with 2 - 4 Units	TX, 05909	Occupied	0	0.0300633	0.969937	48	1264	48	1264
Multi-Family with 2 - 4 Units	TX, 05909	Vacant	1	0	0	4	143	2005	66581
Multi-Family with 5+ Units	TX, 05909	Occupied	0	0.00227564	0.997724	253	7031	253	7031
Multi-Family with 5+ Units	TX, 05909	Vacant	1	0	0	18	774	18	774
Single-Family Attached	TX, 05909	Occupied	0	0.351275	0.648725	42	706	42	706
Single-Family Attached	TX, 05909	Vacant	1	0	0	2	53	894	25835
Single-Family Detached	TX, 05909	Occupied	0	0.819481	0.180519	1556	29731	1556	29731
Single-Family Detached	TX, 05909	Vacant	1	0	0	27	913	27	913
Mobile Home	TX, 05910	Occupied	0	0.80515	0.19485	4	102	1032	18060
Mobile Home	TX, 05910	Vacant	1	0	0	1	56	28	884
Multi-Family with 2 - 4 Units	TX, 05910	Occupied	0	0.0901503	0.90985	185	3594	185	3594
Multi-Family with 2 - 4 Units	TX, 05910	Vacant	1	0	0	10	375	10	375
Multi-Family with 5+ Units	TX, 05910	Occupied	0	0.0201365	0.979863	943	23142	943	23142
Multi-Family with 5+ Units	TX, 05910	Vacant	1	0	0	120	4214	120	4214
Single-Family Attached	TX, 05910	Occupied	0	0.622855	0.377145	109	2214	109	2214
Single-Family Attached	TX, 05910	Vacant	1	0	0	4	97	391	8495
Single-Family Detached	TX, 05910	Occupied	0	0.80911	0.19089	1028	17958	1028	17958
Single-Family Detached	TX, 05910	Vacant	1	0	0	27	828	27	828
Mobile Home	TX, 05911	Occupied	0	0.912537	0.0874627	9	190	1650	26457
Mobile Home	TX, 05911	Vacant	1	0	0	0	0	37	951
